OpenTime,OMG-USDT_Open,OMG-USDT_High,OMG-USDT_Low,OMG-USDT_Close,OMG-USDT_volume,CloseTime,OMG-QuoteAssetVolume,OMG-NumberOfTrades,OMG-TBBAV,OMG-TBQAV,OMG-ignore,LTC-USDT_Open,LTC-USDT_High,LTC-USDT_Low,LTC-USDT_Close,LTC-USDT_volume,LTC-QuoteAssetVolume,LTC-NumberOfTrades,LTC-TBBAV,LTC-TBQAV,LTC-ignore,ETH-USDT_Open,ETH-USDT_High,ETH-USDT_Low,ETH-USDT_Close,ETH-USDT_volume,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,BTC-USDT_Open,BTC-USDT_High,BTC-USDT_Low,BTC-USDT_Close,BTC-USDT_volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
1648771200000,5.49800000,5.83800000,5.48500000,5.64300000,1074459.80000000,1648774799999,6118770.95800000,31267,522986.00000000,2977653.16250000,0,123.90000000,125.00000000,123.30000000,124.50000000,19632.29600000,2441329.31210000,4774,10346.93700000,1286849.93050000,0,3281.51000000,3308.67000000,3272.47000000,3300.98000000,17389.61890000,57234619.79762500,31947,9351.03510000,30779280.44341600,0,45510.35000000,45644.86000000,45351.73000000,45541.50000000,1838.20071000,83712318.65105210,51792,940.42832000,42827268.69736760,0
1648774800000,5.64100000,5.66100000,5.49200000,5.50800000,221428.70000000,1648778399999,1234725.14700000,6306,100694.20000000,561619.40060000,0,124.50000000,124.50000000,122.00000000,122.30000000,26121.53300000,3221166.18120000,5535,12385.99800000,1527658.21390000,0,3300.97000000,3300.98000000,3247.76000000,3256.98000000,26577.42760000,87042431.48454800,39245,11248.09100000,36860553.38320700,0,45542.16000000,45542.17000000,44868.00000000,44923.77000000,4127.99675000,186365597.08843290,76504,1892.75020000,85445203.53523660,0
1648778400000,5.51000000,5.61600000,5.42900000,5.48500000,457641.00000000,1648781999999,2533114.75610000,14495,235853.90000000,1305621.67390000,0,122.30000000,123.10000000,119.10000000,119.80000000,51511.93500000,6231931.64970000,11151,20735.51100000,2508652.26040000,0,3256.99000000,3263.40000000,3210.68000000,3225.93000000,38475.09410000,124517576.62135000,61501,16508.51680000,53424956.58894400,0,44923.77000000,45049.03000000,44200.00000000,44392.71000000,5752.16535000,256708976.05610860,108602,2428.04740000,108410905.37738280,0
1648782000000,5.48200000,5.58500000,5.46600000,5.58000000,195730.60000000,1648785599999,1081943.50880000,5390,97614.80000000,539379.01900000,0,119.80000000,121.00000000,119.20000000,121.00000000,23831.91400000,2861372.30320000,4666,10941.56900000,1315489.93460000,0,3225.93000000,3250.61000000,3218.59000000,3250.29000000,19171.79630000,61989503.35731500,35365,10021.93110000,32407824.71129800,0,44392.71000000,44599.99000000,44273.44000000,44599.98000000,2692.58541000,119680879.01506450,60370,1445.07602000,64230409.86632710,0
1648785600000,5.57800000,5.72400000,5.57300000,5.66700000,184055.30000000,1648789199999,1036925.41660000,6368,98667.50000000,556015.46010000,0,120.90000000,122.00000000,120.80000000,121.60000000,14025.52100000,1702630.35840000,3315,7581.41900000,920430.70450000,0,3250.29000000,3258.76000000,3246.75000000,3247.33000000,15446.27250000,50263777.97149700,26614,7404.92880000,24096633.10567700,0,44599.98000000,44780.01000000,44547.11000000,44642.44000000,1723.22376000,76979363.54545760,47181,892.21570000,39858911.62263320,0
1648789200000,5.66500000,5.73500000,5.64100000,5.64600000,188005.50000000,1648792799999,1068580.55420000,4157,91573.80000000,520727.46920000,0,121.60000000,122.30000000,121.40000000,121.50000000,10216.27500000,1244284.57120000,2365,5248.36900000,639465.17000000,0,3247.33000000,3265.82000000,3242.95000000,3251.01000000,12539.20290000,40812475.96924700,20552,6115.79290000,19904782.94843100,0,44642.44000000,44789.99000000,44583.23000000,44646.16000000,1456.34706000,65073274.73490560,38119,753.83435000,33682362.21035760,0
1648792800000,5.64700000,5.70000000,5.61000000,5.68800000,108060.00000000,1648796399999,610144.86120000,3189,55009.00000000,310738.62630000,0,121.50000000,122.40000000,121.30000000,122.40000000,9077.24500000,1107031.53390000,2375,4843.15000000,590667.13290000,0,3251.01000000,3265.27000000,3245.00000000,3263.33000000,14058.85210000,45783695.91089000,24284,7123.47200000,23199337.37666800,0,44646.15000000,44848.44000000,44567.94000000,44803.70000000,1404.92923000,62845996.42683060,40449,750.69734000,33583875.17356690,0
1648796400000,5.68700000,5.73600000,5.68300000,5.73400000,89337.90000000,1648799999999,510056.86350000,2374,42686.70000000,243778.88660000,0,122.30000000,122.90000000,122.30000000,122.70000000,9705.28900000,1189825.89720000,2672,4991.49800000,612045.26030000,0,3263.32000000,3282.13000000,3261.49000000,3279.41000000,15127.00160000,49489190.52882500,27545,8606.35720000,28158025.66763200,0,44803.70000000,45110.81000000,44801.00000000,45015.69000000,2596.94132000,116686645.59596180,53003,1426.78795000,64100567.48764770,0
1648800000000,5.73400000,5.83000000,5.73000000,5.74500000,193104.90000000,1648803599999,1116604.08800000,6251,85702.10000000,495750.90380000,0,122.70000000,123.30000000,122.20000000,122.30000000,15497.41000000,1903233.35350000,3385,6198.40500000,761689.12870000,0,3279.41000000,3294.52000000,3277.06000000,3279.61000000,18495.46480000,60758339.71056200,30564,8709.13680000,28612237.19708900,0,45015.68000000,45323.91000000,45008.24000000,45137.06000000,2537.07775000,114615063.70066640,58677,1209.63987000,54639250.12581990,0
1648803600000,5.74600000,5.86500000,5.73000000,5.77100000,253162.90000000,1648807199999,1464426.91850000,7312,125427.70000000,725607.40420000,0,122.40000000,122.80000000,122.00000000,122.10000000,13988.43100000,1711539.49760000,2809,6407.12300000,784122.03560000,0,3279.61000000,3285.60000000,3268.69000000,3273.04000000,12178.55110000,39907344.20123600,21108,5553.43660000,18199448.86979700,0,45137.05000000,45243.20000000,44990.48000000,45076.00000000,2072.54564000,93524161.40188870,52941,997.66958000,45020617.99468180,0
1648807200000,5.77500000,5.88200000,5.76500000,5.87400000,205482.30000000,1648810799999,1195795.12910000,6001,110077.80000000,640597.48610000,0,122.20000000,122.60000000,121.90000000,122.40000000,13575.39300000,1658586.43220000,2483,6442.00200000,787244.61310000,0,3273.04000000,3284.49000000,3268.00000000,3283.95000000,9467.20720000,31013344.30199600,17257,5105.20460000,16725885.07554800,0,45076.01000000,45234.56000000,45019.80000000,45223.00000000,1090.16037000,49182791.17817320,36650,581.83843000,26249962.12717750,0
